name,Longitude,Latitude,bus_i,pd_max,voltagegra,father
南通海门变,121.182,31.902,22001,0,220,22001
长兴站,121.697,31.39,22005,0,220,22005
中双港站,121.405,31.662,3501,10,220,3501
堡北站,121.631,31.572,3516,0,220,3516
陈家镇站,121.81,31.498,3517,0,220,3517
红星站,121.372,31.787,3507,0,110,3507
南门站,121.394,31.618,3505,0,110,3505
新海站,121.297,31.819,3506,0,110,3506
长江站,121.539,31.678,3508,5,110,3508
竖河站,121.591,31.602,3509,0,110,3509
汲浜站,121.761,31.533,3526,0,110,3526
建设站,121.456,31.655,1006,11.1,35,1006
大同站,121.489,31.627,1007,11.1,35,1007
新河站,121.525,31.583,1020,11.1,35,1020
堡镇站,121.619,31.537,1021,11.1,35,1021
陈东站,121.82,31.497,1026,11.1,35,1026
森林站,121.479,31.677,1008,11.1,35,1008
湄洲站,121.408,31.62,1009,11.1,35,1009
崇安站,121.341,31.664,1012,11.1,35,1012
新闸站,121.381,31.635,1013,11.1,35,1013
跃进站,121.225,31.813,1014,11.1,35,1014
富盛站,121.517,31.589,1022,11.1,35,1022
上船站,121.555,31.562,1023,11.1,35,1023
明珠站,121.412,31.638,1010,11.1,35,1010
三星站,121.288,31.744,1015,11.1,35,1015
东风站,121.491,31.712,1016,11.1,35,1016
裕安站,121.831,31.524,1027,11.1,35,1027
前哨站,121.87,31.526,1028,11.1,35,1028
园区站,121.396,31.636,1011,11.1,35,1011
启隆站,121.456,31.775,1018,11.1,35,1018
前进站,121.6,31.643,1024,11.1,35,1024
港沿站,121.657,31.589,1025,11.1,35,1025
庙镇站,121.35,31.714,1017,11.1,35,1017
前卫站,121.512,31.719,1019,11.1,35,1019
五滧站,121.664,31.54,1030,11.1,35,1030
-1,-1,-1,1001,0,-1,3505
-1,-1,-1,1002,0,-1,3506
-1,-1,-1,1003,0,-1,3507
-1,-1,-1,1004,0,-1,3508
-1,-1,-1,1005,0,-1,3509
-1,-1,-1,1029,0,-1,3526
-1,-1,-1,3502,0,-1,3501
-1,-1,-1,3503,0,-1,1006
-1,-1,-1,3504,0,-1,1007
-1,-1,-1,3510,0,-1,3508
-1,-1,-1,3511,0,-1,1020
-1,-1,-1,3512,0,-1,1015
-1,-1,-1,3513,0,-1,1016
-1,-1,-1,3514,0,-1,1017
-1,-1,-1,3515,0,-1,1018
-1,-1,-1,3518,0,-1,1021
-1,-1,-1,3519,0,-1,1023
-1,-1,-1,3520,0,-1,1023
-1,-1,-1,3521,0,-1,1024
-1,-1,-1,3522,0,-1,1025
-1,-1,-1,3523,0,-1,1027
-1,-1,-1,3524,0,-1,1028
-1,-1,-1,3525,0,-1,1028
-1,-1,-1,3527,0,-1,1030
-1,-1,-1,11001,0,-1,3501
-1,-1,-1,11002,0,-1,3501
-1,-1,-1,11003,0,-1,3505
-1,-1,-1,11004,0,-1,3505
-1,-1,-1,11005,0,-1,3506
-1,-1,-1,11006,0,-1,3507
-1,-1,-1,11007,0,-1,3508
-1,-1,-1,11008,0,-1,3509
-1,-1,-1,11009,0,-1,3509
-1,-1,-1,11010,0,-1,3516
-1,-1,-1,11011,0,-1,3517
-1,-1,-1,11012,0,-1,3506
-1,-1,-1,11013,0,-1,3526
-1,-1,-1,11014,0,-1,3526
-1,-1,-1,22002,0,-1,3501
-1,-1,-1,22003,0,-1,3516
-1,-1,-1,22004,0,-1,3517
前卫风电,121.512,31.719,8801,-1,110,8801
北堡港风电,121.69179,31.64071,8802,-1,110,8802
崇明岛燃气,121.48726,31.595001,8803,-1,110,8803
北沿风电,121.881944,31.555,8804,-1,110,8804
陈4奚东6,121.817559,31.4977,1706,0,10,1706
陈4奚东8,121.814684,31.497042,1708,0,10,1708
陈4奚东13,121.812238,31.496529,1713,0,10,1713
陈4奚东21,121.81138,31.493931,1721,0,10,1721
陈4奚东66,121.804805,31.475969,1766,0,10,1766
光伏,121.818914,31.495301,8806,0,10,8806
生态实验社区,121.816143,31.494224,8807,0.443,10,8807
老砖瓦厂,121.808933,31.494407,9475,0.25,10,9475
崇冶材料,121.800908,31.475449,5094,2.4,10,5094
商业中心,121.810135,31.49803,10151,1.6,10,10151
五11,121.806745,31.498285,17511,0,10,17511
崇东中学,121.803998,31.498213,5050,0.2,10,5050
陈家镇幼儿园,121.80399,31.487717,12377,0.315,10,12377
六17,121.803097,31.503848,17617,0,10,17617
收费站,121.798633,31.502129,10118,1.925,10,10118
充电站,121.807008,31.504282,10543,1,10,10543
